,köksvåg (g),summa (g),kraft (mN),lastcell lågt (V),lastcell högt (V),Avg (V),Avg (mV),,köksvåg (g),summa (g),kraft (N),lastcell lågt (V),lastcell högt (V),Avg (V),Avg (mV)
,,,,,,,,inget,0,0,0,"1,039","1,05","1,0445",1045
inget,0,0,0,"1,039","1,05","1,0445",1045,skruv 1,78,78,766,"1,049","1,059","0,0095",9
skruv 1,78,78,766,"1,049","1,059","0,0095",9,skruv 2,51,129,1267,"1,053","1,064","0,014",14
skruv 2,51,129,1267,"1,053","1,064","0,014",14,"spole med snöre, + skruv 1 + skruv 2",51,180,1768,"1,06","1,07","0,0205",21
"spole med snöre, + skruv 1 + skruv 2",51,180,1768,"1,06","1,07","0,0205",21,"vikt med snöre, skruv 1 + skruv 2",97,226,2219,"1,065","1,075","0,0255",25
- spole med snöre,−51,129,1267,,,,0,+spole,49,275,2701,"1,07","1,081","0,031",31
"vikt med snöre, skruv 1 + skruv 2",97,226,2219,"1,065","1,075","0,0255",25,+spole,51,326,3201,"1,076","1,087","0,037",37
+spole,49,275,2701,"1,07","1,081","0,031",31,+spole,50,376,3692,"1,083","1,093","0,0435",44
+spole,51,326,3201,"1,076","1,087","0,037",37,+spole,52,428,4203,"1,088","1,099","0,049",49
+spole,50,376,3692,"1,083","1,093","0,0435",44,fyrkantig järnbitar,254,480,4714,"1,094","1,105","0,055",55
+spole,52,428,4203,"1,088","1,099","0,049",49,+spole,50,530,5205,"1,1","1,111","0,061",61
ta bort 4 spolar,−202,226,2219,,,,0,+spole,52,582,5715,"1,106","1,117","0,067",67
fyrkantig järnbitar,254,480,4714,"1,094","1,105","0,055",55,+spole,49,631,6196,"1,113","1,123","0,0735",73
+spole,50,530,5205,"1,1","1,111","0,061",61,+spole,51,682,6697,"1,118","1,129","0,079",79
+spole,52,582,5715,"1,106","1,117","0,067",67,+spole,51,741,7277,"1,125","1,136","0,086",86
+spole,49,631,6196,"1,113","1,123","0,0735",73,+spole,49,790,7758,"1,13","1,141","0,091",91
+spole,51,682,6697,"1,118","1,129","0,079",79,+spole,50,840,8249,"1,135","1,147","0,0965",97
ta bort 4 spolar,−202,480,4714,,,,0,+spole,52,892,8759,"1,143","1,154","0,104",104
+ärnbit,210,690,6776,,,,0,+spole,52,962,9447,"1,15","1,161","0,111",111
+spole,51,741,7277,"1,125","1,136","0,086",86,+spole,50,1012,9938,"1,156","1,166","0,1165",117
+spole,49,790,7758,"1,13","1,141","0,091",91,spole,49,1061,10419,"1,163","1,172","0,123",123
+spole,50,840,8249,"1,135","1,147","0,0965",97,spole,50,1111,10910,"1,168","1,178","0,1285",129
+spole,52,892,8759,"1,143","1,154","0,104",104,,,,,,,,
- 4 spole,−202,690,6776,,,,0,,,,,,,,
+järn,220,910,8936,,,,0,,,,,,,,
+spole,52,962,9447,"1,15","1,161","0,111",111,,,,,,,,
+spole,50,1012,9938,"1,156","1,166","0,1165",117,,,,,,,,
spole,49,1061,10419,"1,163","1,172","0,123",123,,,,,,,,
spole,50,1111,10910,"1,168","1,178","0,1285",129,,,,,,,,
