f,U (V),I (A),Temp (deg C),Tid (s),notering,Spänning Min,Spänning Max,Avg,Filtrerat genomsnitt,Diff,Kraft
25,"0,374",0,"22,4",0,,,,,,,
25,"28,98","5,19","22,5",8,spänning på ,,,,,,
25,"28,98","5,19","24,4",18,,,,,,,
25,"28,97","5,18","26,2",28,,,,,,,
25,"28,96","5,17","28,3",38,,,,,,,
25,"28,95","5,16",30,48,,,,,,,
25,"28,96","5,15","32,4",58,,,,,,,
25,"28,95","5,15","34,4",68,,,,,,,
25,"28,95","5,14",36,78,,,,,,,
25,"28,95","5,13","37,9",88,,,,,,,
25,"28,93","5,12","40,9",98,,,,,,,
25,"28,92","5,11","41,5",108,,,,,,,
25,"28,92","5,1","43,8",118,,,,,,,
25,"28,93","5,1","45,2",128,,,,,,,
25,"28,93","5,09","46,9",138,,,,,,,
25,"28,93","5,08","49,2",148,,,,,,,
25,"28,92","5,08","50,5",158,,,,,,,
25,"28,93","5,07","52,9",168,,,,,,,
25,"28,92","5,06","55,1",188,,,,,,,
25,"28,92","5,05","58,4",208,,,,,,,
25,"28,92","5,04","61,7",228,,,,,,,
25,"28,91","5,02","64,5",248,,,,,,,
25,"28,91","5,02","65,1",254,,,,,,,
,,,,,,,,,,,
50,"0,369",0,"28,1",0,,,,,,,
50,"60,14","6,38","28,2",11,båda aggregat på,,,,,,
50,"60,11","6,38","29,7",16,,,,,,,
50,"60,1","6,37","30,7",21,,,,,,,
50,"60,08","6,37",32,26,,,,,,,
50,"60,07","6,36","33,5",31,,,,,,,
50,"60,06","6,36","34,8",36,,,,,,,
50,"60,06","6,35",38,46,,,,,,,
50,"60,06","6,34","40,9",56,,,,,,,
50,"60,06","6,34","43,9",66,,,,,,,
50,"60,06","6,34","47,7",76,,,,,,,
50,"60,06","6,33","50,7",86,,,,,,,
50,"60,05","6,32","52,7",96,,,,,,,
50,"60,06","6,31","55,4",106,,,,,,,
50,"60,06","6,31","58,1",116,,,,,,,
50,"60,08","6,3","60,7",126,,,,,,,
50,"60,07","6,3","63,5",136,,,,,,,
50,"60,05","6,29","65,3",144,,,,,,,
50,,,,,,,,,,,
,,,,,,,,,,,
20,,,,,,,,,,,
,,,,,,,,,,,
25,"0,378",0,"32,6",0,,"1,017","1,017","1,017","1,017",0,0
25,"31,04","4,83","32,4",28,spänning på,"1,050797","1,055308","1,0530525","1,055308","0,0022555","3,094386075"
25,"33,31","5,57","32,4",29,,"1,06331","1,066553","1,0649315","1,066553","0,0016215","4,113960645"
25,"35,04","5,96","32,5",30,,"1,075046","1,078133","1,0765895","1,078133","0,0015435","5,114566785"
25,"38,25","6,59","32,6",31,,"1,08581","1,087818","1,086814","1,087818","0,001004","5,99213562"
25,"41,59","7,46",33,32,,"1,094925","1,097257","1,096091","1,097257","0,001166","6,78838053"
25,"43,19","7,92","34,3",33,,"1,103742","1,105768","1,104755","1,105768","0,001013","7,53201165"
25,"44,67","8,33","34,6",34,,"1,109249","1,109896","1,1095725","1,109896","0,0003235","7,945497675"
25,"45,81","8,61","35,9",35,,"1,111842","1,112835","1,1123385","1,112835","0,0004965","8,182903455"
25,"46,27","8,77","36,1",36,,"1,115436","1,115539","1,1154875","1,115436","−0,0000515","8,453182125"
25,"46,04","8,77","36,4",37,,"1,114013","1,114236","1,1141245","1,114014","−0,0001105","8,336195835"
25,"46,03","8,75","37,7",38,,"1,113387","1,113545","1,113466","1,113387","−0,000079","8,27967678"
25,"46,02","8,72",41,43,,"1,111565","1,111699","1,111632","1,111567","−0,000065","8,12226456"
25,"46,02","8,69","44,2",48,,"1,11007","1,110154","1,110112","1,11007","−0,000042","7,99180296"
25,"46,01","8,67","46,7",53,,"1,108866","1,108944","1,108905","1,108866","−0,000039","7,88820615"
25,46,"8,64","50,1",58,,"1,107755","1,107806","1,1077805","1,107755","−0,0000255","7,791690315"
25,"46,01","8,61","53,1",63,,"1,106726","1,106797","1,1067615","1,106726","−0,0000355","7,704229545"
25,"46,01","8,59","56,2",68,,"1,10598","1,106074","1,106027","1,105981","−0,000046","7,64118741"
25,46,"8,56","59,1",73,,"1,105129","1,105193","1,105161","1,105139","−0,000022","7,56685863"
25,46,"8,54","63,3",78,,"1,104358","1,104397","1,1043775","1,104358","−0,0000195","7,499610825"
25,46,"8,51","65,3",83,,"1,10364","1,103664","1,103652","1,10364","−0,000012","7,43734116"
25,"46,01","8,51","66,8",85,,,,,,,
