% Model:              Untitled.mph
% Version:            COMSOL 5.5.0.359
% Date:               May 6 2020, 13:53
% Table:              Probe Table 1 - 
% Time (s)                                        Three Layer force, x component (N)                Economic force, x component (N)                   Two Layer force, x component (N)                  One Layer force, x component (N)                  Economic force 14 tooth, x component (N)
0                                                 -1.9583994648656025                               -2.271470928082791                                2.050528151360767                                 1.7795462401817619                                -1.1817696810379248
6.827230668055979E-5                              -2.0155030645542733                               -2.3070261318270004                               1.9487861933780088                                1.7290898428681072                                -1.2273592608422785
1.3654461336111957E-4                             -2.0979371995099845                               -2.3549589397819495                               1.8181099958019602                                1.6669281635642188                                -1.2904778780747388
2.7308922672223914E-4                             -2.301924214020087                                -2.4657459309184087                               1.522331785651045                                 1.5264648930786056                                -1.4386782653777443
5.461784534444783E-4                              -2.8298919239362927                               -2.726270818856631                                0.8346403821343863                                1.197340787432845                                 -1.7943256558114027
8.192676801667175E-4                              -3.3359542475985404                               -2.952388208012713                                0.20620972163444562                               0.8791227268677813                                -2.1100755487490788
0.0010923569068889566                             -3.8047526409926156                               -3.1465016271101804                               -0.37224877640557164                              0.5726987336463286                                -2.390735486975875
0.0013654461336111957                             -4.208059868798178                                -3.29827644589582                                 -0.8804802964144727                               0.2897900019980188                                -2.623289896562686
0.0019116245870556738                             -4.767078655955486                                -3.470112916650938                                -1.672250151969493                                -0.15909155669517264                              -2.952520145762374
0.002457803040500152                              -5.164789186300783                                -3.5718959313614334                               -2.32578071831475                                 -0.5362284321190982                               -3.199434035155342
0.003550159947389109                              -5.566854996614513                                -3.6276019010426146                               -3.3174064699589323                               -1.0850947227419652                               -3.4995445153905282
0.004642516854278065                              -5.736895829497329                                -3.661905534213219                                -4.104597912514316                                -1.5025638869469078                               -3.6968419833282224
0.0057348737611670215                             -5.768723886886988                                -3.7312190515984964                               -4.736295141536157                                -1.8172545126044786                               -3.8358981680940647
0.006705249062996474                              -5.733912917872818                                -3.848683014956226                                -5.1805372764304165                               -2.025406423393594                                -3.9304429154944205
0.007675624364825927                              -5.658267695799028                                -4.019645735524652                                -5.505982853719227                                -2.164716949978112                                -3.9985691733560267
0.00864599966665538                               -5.5609491999007155                               -4.241399844405864                                -5.705652966214961                                -2.237350311040131                                -4.043828929984578
0.008888593492112743                              -5.548336677494343                                -4.313143331110797                                -5.744956097443565                                -2.252122848587658                                -4.058859442073388
0.00937378114302747                               -5.505325169892431                                -4.454397683054525                                -5.789407450051036                                -2.261052816859173                                -4.077823993975973
0.010344156444856922                              -5.392775774690436                                -4.734707883148661                                -5.755523280508326                                -2.2180554056304373                               -4.084422774720752
0.011314531746686375                              -5.293435123635479                                -5.032414238603554                                -5.59374108859615                                 -2.118559446064164                                -4.071288997645132
0.012284907048515828                              -5.211055299080432                                -5.32946229545501                                 -5.314568020966792                                -1.9680857262930893                               -4.0365745030867135
0.01325528235034528                               -5.15045246743645                                 -5.607834067445833                                -4.9350784880085845                               -1.776076779753571                                -3.988291738336325
0.014225657652174734                              -5.1151121438252165                               -5.850454392897384                                -4.477609387275187                                -1.5543141167735082                               -3.925892238845486
0.015196032954004186                              -5.106805971571054                                -6.0423085217795585                               -3.968794654786397                                -1.3161081275665878                               -3.8529178720894026
0.01616640825583364                               -5.1255903976781205                               -6.171403179647827                                -3.438203718281864                                -1.0755785130533682                               -3.7716995887601383
0.018107158859492545                              -5.303145811089266                                -6.283452780390108                                -2.4899151972593465                               -0.6677316860101424                               -3.644751319427163
0.01859234651040727                               -5.360278369254316                                -6.267090800250447                                -2.2800373592252257                               -0.5842660312051743                               -3.6175168080290505
0.018834940335864636                              -5.388012796501929                                -6.249491592672481                                -2.1791040995145035                               -0.5450527181984983                               -3.602811962926025
0.019320127986779363                              -5.444374083079702                                -6.197364079026295                                -1.9925997051832476                               -0.4742387650476822                               -3.574342249664254
0.01980531563769409                               -5.501829999220275                                -6.125064490512132                                -1.8295384011779412                               -0.4151205260986701                               -3.5451567822026435
0.02077569093952354                               -5.62315642296822                                 -5.9313416156085585                               -1.5906026119172247                               -0.3394856995882755                               -3.4811970710114557
0.021746066241352995                              -5.700275565490087                                -5.630051377251849                                -1.4596165256475175                               -0.3066479841279833                               -3.4107197351269227
